% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=355236, Tue Apr  7 13:48:42 2020, <python>{}</python>
1 16 0.47603156401637103 1.000049181537241 -20.0 -2.0000000000000000e+01 -9.0 -8.0   
2 32 0.46066205360414975 1.033147457225331 -20.0 -1.2000000000000000e+01 -9.0 -8.0   
3 48 0.4490332929871931 1.041617040009159 -20.0 -1.4000000000000000e+01 -10.0 -8.0   
4 64 0.4402910740927855 1.0485381147963582 -39.0 -3.9000000000000000e+01 -10.0 -8.0   
5 80 0.43886304758683575 1.0540264451328218 -57.0 -5.7000000000000000e+01 -10.0 -8.0   
6 96 0.43662173855441705 1.0708740513429627 -57.0 -4.7000000000000000e+01 -10.0 -8.0   
7 112 0.4371486054175974 1.080028671093016 -340.0 -3.4000000000000000e+02 -16.0 -9.0   
8 128 0.4353412077546429 1.0907406839475386 -340.0 -1.0000000000000000e+02 -27.0 -9.0   
9 144 0.43928583211958416 1.1005398351404998 -340.0 -5.9000000000000000e+01 -15.0 -8.0   
10 160 0.4434222048118549 1.1176310469786142 -340.0 -1.3000000000000000e+02 -19.0 -9.0   
11 176 0.4479537386942034 1.1315143386401048 -340.0 -1.5500000000000000e+02 -28.0 -13.0   
12 192 0.45250614063235767 1.144341461846656 -340.0 -5.4000000000000000e+01 -16.0 -8.0   
13 208 0.46180045850247814 1.1583510213921995 -340.0 -1.0300000000000000e+02 -29.0 -8.0   
14 224 0.473560890116153 1.1760263973793985 -340.0 -1.5900000000000000e+02 -20.0 -9.0   
15 240 0.48270859726757465 1.1943991735485766 -340.0 -5.9000000000000000e+01 -22.0 -10.0   
16 256 0.48929213787874526 1.2136589022916848 -428.0 -4.2800000000000000e+02 -23.0 -9.0   
17 272 0.4975062390346321 1.2301888119049926 -466.0 -4.6600000000000000e+02 -27.0 -9.0   
18 288 0.4976355311775797 1.2470328161092703 -466.0 -1.7300000000000000e+02 -30.0 -8.0   
19 304 0.499587757642824 1.2596628620721428 -466.0 -5.5000000000000000e+01 -11.0 -9.0   
20 320 0.5034381392517082 1.2704061258881287 -500.0 -5.0000000000000000e+02 -27.0 -9.0   
21 336 0.5084464688465636 1.2821394939967605 -500.0 -1.7100000000000000e+02 -21.0 -8.0   
22 352 0.5117857543960015 1.2972822314109043 -500.0 -9.9000000000000000e+01 -50.0 -24.0   
23 368 0.5130141880740355 1.3095184324105198 -500.0 -5.0000000000000000e+02 -30.0 -9.0   
24 384 0.5129090572490262 1.321483585829886 -500.0 -1.1100000000000000e+02 -28.0 -12.0   
25 400 0.5138460633110187 1.334113255518234 -500.0 -8.3000000000000000e+01 -32.0 -8.0   
26 416 0.5118954755642008 1.3489560832396985 -500.0 -7.4000000000000000e+01 -24.0 -8.0   
27 432 0.5081931631467926 1.3631169495404467 -500.0 -2.5700000000000000e+02 -36.0 -8.0   
28 448 0.5028986386810412 1.3759902295038509 -500.0 -1.0800000000000000e+02 -29.0 -10.0   
29 464 0.4966394196430607 1.3841386686397208 -500.0 -9.5000000000000000e+01 -42.0 -8.0   
30 480 0.4897257085871552 1.3917921971520975 -500.0 -2.6100000000000000e+02 -34.0 -9.0   
31 496 0.48857261936627183 1.3962848994600272 -500.0 -5.0000000000000000e+02 -37.0 -17.0   
32 512 0.4847361612090081 1.3973820002728303 -500.0 -3.4300000000000000e+02 -33.0 -8.0   
33 528 0.4834544515657774 1.4024402860910234 -500.0 -5.0000000000000000e+02 -35.0 -9.0   
34 544 0.4841685201424887 1.4066999063101353 -500.0 -6.9000000000000000e+01 -34.0 -8.0   
35 560 0.4874101284311391 1.4078207175365585 -500.0 -8.7000000000000000e+01 -48.0 -9.0   
36 576 0.4977631107978988 1.4115339659599153 -500.0 -9.5000000000000000e+01 -32.0 -9.0   
37 592 0.5032722701797007 1.4167357005915477 -500.0 -5.0000000000000000e+02 -14.0 -9.0   
38 608 0.5053124103195453 1.4216176957186082 -500.0 -5.0000000000000000e+02 -26.0 -8.0   
39 624 0.5032421151223686 1.425747679082103 -500.0 -9.6000000000000000e+01 -42.0 -9.0   
40 640 0.5028867094060181 1.4273528656781154 -500.0 -5.0000000000000000e+02 -43.0 -18.0   
41 656 0.5036637346847637 1.429525489034729 -500.0 -7.8000000000000000e+01 -42.0 -17.0   
42 672 0.501780840268836 1.431750483808522 -500.0 -3.0200000000000000e+02 -32.0 -17.0   
43 688 0.4984489624099131 1.433610895691655 -500.0 -3.2900000000000000e+02 -53.0 -16.0   
44 704 0.4962365570603333 1.4386899874692165 -500.0 -2.5800000000000000e+02 -48.0 -31.0   
45 720 0.49549122699853043 1.4379867613695 -500.0 -5.0000000000000000e+02 -34.0 -18.0   
46 736 0.49635127228029124 1.4421320157968023 -500.0 -3.6100000000000000e+02 -34.0 -12.0   
47 752 0.495427199721478 1.4420649597470314 -500.0 -1.1500000000000000e+02 -39.0 -14.0   
48 768 0.4943785545396646 1.4448879299822095 -500.0 -5.0000000000000000e+02 -47.0 -22.0   
49 784 0.4905165086483929 1.448119331069864 -500.0 -5.0000000000000000e+02 -50.0 -23.0   
50 800 0.48834622982005255 1.4544157821133143 -500.0 -1.0700000000000000e+02 -39.0 -25.0   
51 816 0.48733076660540187 1.4560095864831362 -500.0 -9.1000000000000000e+01 -50.0 -25.0   
52 832 0.48824052460188777 1.4578294940707053 -500.0 -1.9700000000000000e+02 -42.0 -28.0   
53 848 0.4892638193532467 1.4580292689961676 -500.0 -1.0500000000000000e+02 -47.0 -23.0   
